source_id,display_name,type,mean_citedness_2yr,works_count,h_index
S104924063,Computational Biology and Chemistry,journal,2.857632933104631,,76
S105007214,Philosophy and literature,journal,0.056179775280898875,,40
S105116163,Bulletin of the American Society for Information Science and Technology,journal,0.0,,40
S105208853,Journal of Chemical Education,journal,3.0950871632329635,,198
S105231406,Journal of Electronic Publishing,journal,0.5217391304347826,,31
S105243760,Applied Physics Letters,journal,3.8198308783415165,,560
S105379996,Sexuality & Culture,journal,1.4811320754716981,,63
S10542796,European Journal of Cardio-Thoracic Surgery,journal,2.799134199134199,,184
S105482265,Research in Human Development,journal,1.434782608695652,,64
S10553207,Psychology,journal,0.6782945736434108,,63
S105556297,Comparative Political Studies,journal,4.12719298245614,,195
S105638504,Zeitschrift für psychosomatische Medizin und Psychotherapie,journal,0.2549019607843137,,33
S105662685,European Archives of Psychiatry and Clinical Neuroscience,journal,2.9681742043551087,,157
S105679133,Journal of Continuing Education in the Health Professions,journal,0.8429752066115702,,85
S105737376,Lingua,journal,1.2605633802816902,,185
S105746325,The Analyst,journal,3.1569945021380574,,228
S10591207,Current Sociology,journal,2.0065359477124183,,109
S105928092,Control Engineering Practice,journal,4.196634189548273,,164
S10595604,Journal of college student development,journal,1.2986111111111112,,149
S10623703,International Journal of Molecular Sciences,journal,6.370100749477823,,424
S106284948,Medical Care Research and Review,journal,2.3365384615384617,,117
S106296714,Lecture notes in computer science,book series,1.4616130547432538,,715
S106394429,Fisheries Management and Ecology,journal,1.4694656488549618,,81
S106502101,Bulletin of Environmental Contamination and Toxicology,journal,1.9761904761904763,,120
S106654227,Clinical and Translational Science,journal,4.543617021276596,,84
S10668961,Journal of Experimental Psychology Animal Learning and Cognition,journal,0.41304347826086957,,35
S106822843,Social Science & Medicine,journal,3.5464799688837028,,392
S106908163,Neuro-Oncology,journal,1.081712698153293,,217
S106956883,European Transport Research Review,journal,6.45320197044335,,69
S106963461,Nature Biotechnology,journal,12.391735537190083,,639
S107025856,Journal of Cataract & Refractive Surgery,journal,2.226153846153846,,196
S107049385,The British Journal for the Philosophy of Science,journal,2.0254237288135593,,133
S107063406,Revue française d'allergologie,journal,0.08687258687258688,,17
S107183665,Journal of service management,journal,7.801724137931035,,118
S107213193,Social Cognitive and Affective Neuroscience,journal,3.065068493150685,,166
S10731693,IEEJ Transactions on Electrical and Electronic Engineering,journal,1.0612244897959184,,44
S107336951,Management Development Review,journal,0.0,,19
S107462239,Seminars in Speech and Language,journal,3.095744680851064,,70
S107516304,BMC Medical Informatics and Decision Making,journal,6.167420814479638,,147
S107571054,School Psychology International,journal,1.4166666666666667,,94
S107707151,The Cerebellum,journal,2.6048192771084335,,107
S107737141,Journal of Communication,journal,4.933884297520661,,232
S107799410,BMC Nursing,journal,5.179640718562874,,98
S107832660,Journal of Addiction Medicine,journal,2.118951612903226,,82
S107889856,Alzheimer Disease & Associated Disorders,journal,1.4685314685314685,,131
S107905979,Arthroscopy The Journal of Arthroscopic and Related Surgery,journal,2.848501978518937,,242
S107923245,Computing in Science & Engineering,journal,1.2326530612244897,,98
S108023290,Nuclear Medicine Communications,journal,1.0750605326876512,,94
S108074651,Annual Review of Applied Linguistics,journal,9.534883720930232,,124
S108264734,Psychology in Russia State of Art,journal,1.123456790123457,,26
S108318183,The Journal of General Psychology,journal,1.3287671232876712,,100
S108427512,Alzheimer s & Dementia,journal,1.9517813707254257,,228
S108453729,Health Communication,journal,2.471927162367223,,129
S108525051,Journal of Allergy and Clinical Immunology,journal,1.8794611203025289,,410
S108587369,Social Issues and Policy Review,journal,2.142857142857143,,68
S108832698,Zeitschrift für Psychologie,journal,3.438202247191011,,63
S108833125,International Journal of Naval Architecture and Ocean Engineering,journal,3.5,,55
